1 46 3 31
2 73 43 15
3 64 63 82
4 68 37 100
5 91 37 10
6 42 78 55
7 45 8 97
8 85 19 87
9 41 81 12
10 67 77 19
11 85 12 31
12 73 95 25
13 58 34 74
14 30 63 12
15 92 28 30
16 75 91 88
17 21 84 63
18 100 47 27
19 35 36 66
20 44 82 57
21 17 57 41
22 72 43 55
23 30 44 47
24 20 34 42
25 90 74 47
26 34 5 14
27 31 8 52
28 43 18 45
29 74 51 38
30 92 71 36
31 9 79 69
32 55 2 98
33 71 54 17
34 82 91 1
35 83 74 38
36 85 53 31
37 26 78 66
38 76 25 46
39 68 66 99
40 91 48 58
41 60 3 23
42 84 36 43
43 29 10 38
44 18 17 74
45 11 56 53
46 21 43 91
47 95 26 33
48 11 12 12
49 0 79 39
50 82 43 20
51 68 28 70
52 63 60 29
53 38 64 73
54 14 1 14
55 18 62 90
56 46 60 81
57 32 23 53
58 12 44 65
59 47 27 78
60 79 46 69
61 72 66 58
62 71 78 80
63 6 32 53
64 93 2 16
65 74 7 25
66 75 21 35
67 39 50 26
68 82 24 56
69 64 45 9
70 57 8 73
71 42 42 57
72 86 2 47
73 11 58 92
74 82 51 11
75 11 32 32
76 50 7 53
77 82 76 85
78 12 0 89
79 6 21 95
80 41 54 77
81 91 93 36
82 24 73 82
83 47 96 13
84 88 49 73
85 54 78 90
86 45 61 29
87 75 0 48
88 73 37 97
89 45 1 32
90 94 21 51
91 78 25 6
92 20 9 55
93 18 41 87
94 68 93 75
95 47 20 85
96 5 80 90
97 10 32 0
98 77 5 95
99 63 55 57
100 37 43 54
