1 37 40 50
2 7 85 14
3 81 80 79
4 7 67 44
5 43 51 82
6 10 45 30
7 7 82 58
8 24 4 40
9 66 23 31
10 2 4 56
11 99 97 93
12 89 21 24
13 93 53 89
14 31 36 77
15 39 3 45
16 33 47 15
17 63 95 37
18 64 99 97
19 65 81 66
20 86 88 77
21 11 63 78
22 67 73 91
23 61 54 88
24 1 38 31
25 39 17 19
26 13 16 9
27 33 55 47
28 86 67 58
29 61 47 71
30 87 10 13
31 29 41 67
32 37 45 19
33 28 52 37
34 7 84 38
35 30 50 66
36 30 82 24
37 59 44 97
38 14 11 40
39 3 32 89
40 38 24 85
41 11 67 25
42 12 29 55
43 26 42 49
44 0 64 95
45 59 76 19
46 64 72 69
47 52 30 7
48 5 81 25
49 94 63 2
50 78 59 59
51 17 21 54
52 82 51 12
53 34 16 3
54 85 66 85
55 65 76 56
56 9 39 28
57 5 79 20
58 93 19 15
59 93 44 83
60 25 16 13
61 37 40 61
62 97 55 22
63 68 48 90
64 37 51 39
65 22 54 71
66 22 3 69
67 34 2 13
68 14 69 31
69 91 14 2
70 100 71 72
71 20 93 55
72 74 59 61
73 54 2 34
74 1 22 28
75 76 70 55
76 52 2 76
77 68 68 8
78 3 82 56
79 67 64 11
80 34 78 65
81 58 89 85
82 24 10 47
83 28 14 69
84 34 90 50
85 95 16 16
86 3 54 59
87 4 37 57
88 76 10 44
89 18 70 95
90 45 3 47
91 34 44 38
92 41 2 4
93 19 20 19
94 84 93 10
95 10 90 18
96 52 45 18
97 63 56 79
98 40 2 91
99 2 79 73
100 72 39 16
