81,59,40
90,87,95
65,97,31
6,6,59
73,2,84
63,68,92
55,4,51
35,74,85
71,6,25
12,95,78
30,92,81
98,44,73
39,86,20
6,24,43
59,30,25
41,61,35
60,44,80
91,42,60
58,78,84
81,89,63
70,90,6
61,56,67
98,44,80
47,16,77
77,58,91
91,1,45
19,77,49
5,94,57
99,56,47
81,100,95
69,73,28
23,12,53
53,64,2
17,91,80
47,22,91
93,52,12
34,68,89
96,81,69
21,7,19
53,47,86
3,88,60
71,38,82
13,80,56
40,69,90
54,57,58
27,99,79
48,73,99
29,44,71
70,39,79
19,26,51
1,49,18
75,57,42
83,27,34
87,55,36
4,34,73
31,79,81
15,57,64
6,72,21
80,95,29
62,32,73
68,13,40
88,66,53
55,9,96
77,34,73
41,46,91
92,81,53
56,66,51
21,70,39
7,95,47
7,25,57
11,69,53
75,79,31
28,95,57
12,9,57
14,69,38
7,12,20
64,98,44
49,70,76
57,56,93
100,29,40
57,95,91
2,30,85
77,90,35
3,1,63
10,68,90
78,77,24
14,70,31
45,6,42
31,45,82
83,85,64
34,37,33
54,79,67
1,61,45
82,39,18
12,70,59
88,35,44
11,5,96
26,92,63
6,76,60
92,9,18
40,27,52
81,74,40
23,80,78
72,99,16
48,75,19
47,75,86
77,91,71
60,56,19
78,29,2
13,53,9
63,1,30
28,20,31
13,66,40
94,28,85
17,31,1
11,62,53
55,3,79
